time_ms,dedicated_MB,local_MB,shared_MB,committed_MB,instances
1,0.0,1721.3,2934.7,3612.9,1
4521,0.0,4419.9,4422.4,4425.6,1
8848,0.0,4430.8,4433.5,4436.7,1
13176,0.0,4442.2,4445.0,4448.1,1
17512,0.0,4449.7,4449.7,4450.2,1
21833,0.0,4457.7,4461.6,4466.0,1
26156,0.0,4474.2,4478.7,4483.9,1
30509,0.0,0.0,0.0,0.0,1
