time_ms,dedicated_MB,local_MB,shared_MB,committed_MB,instances
2,0.0,1636.2,2821.5,3612.9,1
4503,0.0,4419.3,4421.2,4423.8,1
8811,0.0,4427.9,4430.1,4432.7,1
13145,0.0,4436.9,4439.1,4441.7,1
17458,0.0,4445.8,4447.7,4449.5,1
21767,0.0,4449.7,4449.7,4450.2,1
26074,0.0,4453.2,4454.1,4458.1,1
30394,0.0,4465.6,4465.6,4470.3,1
34695,0.0,4478.7,4478.7,4483.9,1
39014,0.0,0.0,0.0,0.0,1
