time_ms,dedicated_MB,local_MB,shared_MB,committed_MB,instances
1,0.0,1572.5,2778.4,3612.9,1
4554,0.0,3627.4,3631.4,3635.6,1
8868,0.0,3644.1,3647.7,3652.1,1
13188,0.0,3655.7,3655.7,3656.1,1
17514,0.0,3667.5,3671.5,3680.6,1
21817,0.0,3689.4,0.0,0.0,1
